Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Desc_us_desti_principal,Concepte,Nombre
2023,1,Ciutat Vella,1,el Raval,6,Espectacles,Nombre,4
2023,1,Ciutat Vella,1,el Raval,6,Sanitat,Valor_€,1437419.92
2023,1,Ciutat Vella,1,el Raval,6,Comerç,Valor_€,9191541.81
2023,1,Ciutat Vella,1,el Raval,6,Indústria,Valor_€,149208.54
2023,1,Ciutat Vella,1,el Raval,6,Magatzem,Valor_€,2278752.57
2023,1,Ciutat Vella,1,el Raval,6,Turisme i hostaleria,Valor_€,23964421.19
2023,1,Ciutat Vella,1,el Raval,6,Oficines,Valor_€,312132.32
2023,1,Ciutat Vella,1,el Raval,6,Habitatge,Valor_€,62176151.38
2023,1,Ciutat Vella,1,el Raval,6,Religiós,Valor_€,5772002.92
2023,1,Ciutat Vella,1,el Raval,6,Aparcaments,Valor_€,2865486.99
2023,1,Ciutat Vella,1,el Raval,6,Espectacles,Valor_€,3020203.62
2023,1,Ciutat Vella,1,el Raval,7,Habitatge,Superfície_m2,61529
2023,1,Ciutat Vella,1,el Raval,7,Espectacles,Superfície_m2,7282
2023,1,Ciutat Vella,1,el Raval,7,Oficines,Superfície_m2,7001
2023,1,Ciutat Vella,1,el Raval,7,Turisme i hostaleria,Superfície_m2,11078
2023,1,Ciutat Vella,1,el Raval,7,Comerç,Superfície_m2,8740
2023,1,Ciutat Vella,1,el Raval,7,Magatzem,Superfície_m2,3490
2023,1,Ciutat Vella,1,el Raval,7,Aparcaments,Superfície_m2,5921
2023,1,Ciutat Vella,1,el Raval,7,Esportiu,Superfície_m2,20
2023,1,Ciutat Vella,1,el Raval,7,Habitatge,Nombre,887
2023,1,Ciutat Vella,1,el Raval,7,Espectacles,Nombre,9
2023,1,Ciutat Vella,1,el Raval,7,Oficines,Nombre,14
2023,1,Ciutat Vella,1,el Raval,7,Turisme i hostaleria,Nombre,36
2023,1,Ciutat Vella,1,el Raval,7,Comerç,Nombre,86
2023,1,Ciutat Vella,1,el Raval,7,Magatzem,Nombre,131
2023,1,Ciutat Vella,1,el Raval,7,Aparcaments,Nombre,417
2023,1,Ciutat Vella,1,el Raval,7,Esportiu,Nombre,1
2023,1,Ciutat Vella,1,el Raval,7,Habitatge,Valor_€,56040875.8
2023,1,Ciutat Vella,1,el Raval,7,Espectacles,Valor_€,10676504.3
2023,1,Ciutat Vella,1,el Raval,7,Oficines,Valor_€,9925617.97
2023,1,Ciutat Vella,1,el Raval,7,Turisme i hostaleria,Valor_€,14471578.87
2023,1,Ciutat Vella,1,el Raval,7,Comerç,Valor_€,9351624.41
2023,1,Ciutat Vella,1,el Raval,7,Magatzem,Valor_€,4176255.63
2023,1,Ciutat Vella,1,el Raval,7,Aparcaments,Valor_€,3802182.96
2023,1,Ciutat Vella,1,el Raval,7,Esportiu,Valor_€,26989.73
2023,1,Ciutat Vella,1,el Raval,8,Indústria,Superfície_m2,482
2023,1,Ciutat Vella,1,el Raval,8,Aparcaments,Superfície_m2,5176
2023,1,Ciutat Vella,1,el Raval,8,Comerç,Superfície_m2,5208
2023,1,Ciutat Vella,1,el Raval,8,Turisme i hostaleria,Superfície_m2,1520
2023,1,Ciutat Vella,1,el Raval,8,Magatzem,Superfície_m2,6308
2023,1,Ciutat Vella,1,el Raval,8,Sanitat,Superfície_m2,2473
2023,1,Ciutat Vella,1,el Raval,8,Habitatge,Superfície_m2,67327
2023,1,Ciutat Vella,1,el Raval,8,Indústria,Nombre,3
2023,1,Ciutat Vella,1,el Raval,8,Aparcaments,Nombre,164
2023,1,Ciutat Vella,1,el Raval,8,Comerç,Nombre,65
2023,1,Ciutat Vella,1,el Raval,8,Turisme i hostaleria,Nombre,12
2023,1,Ciutat Vella,1,el Raval,8,Magatzem,Nombre,34
2023,1,Ciutat Vella,1,el Raval,8,Sanitat,Nombre,2
2023,1,Ciutat Vella,1,el Raval,8,Habitatge,Nombre,1243
2023,1,Ciutat Vella,1,el Raval,8,Indústria,Valor_€,269536.96
2023,1,Ciutat Vella,1,el Raval,8,Aparcaments,Valor_€,1883682.75
2023,1,Ciutat Vella,1,el Raval,8,Comerç,Valor_€,4474928
2023,1,Ciutat Vella,1,el Raval,8,Turisme i hostaleria,Valor_€,2239034.35
2023,1,Ciutat Vella,1,el Raval,8,Magatzem,Valor_€,2287804.61
2023,1,Ciutat Vella,1,el Raval,8,Sanitat,Valor_€,3042927.58
2023,1,Ciutat Vella,1,el Raval,8,Habitatge,Valor_€,62122532.82
2023,1,Ciutat Vella,1,el Raval,9,Turisme i hostaleria,Superfície_m2,62
2023,1,Ciutat Vella,1,el Raval,9,Magatzem,Superfície_m2,3546
2023,1,Ciutat Vella,1,el Raval,9,Sòl sense edificar,Superfície_m2,0
2023,1,Ciutat Vella,1,el Raval,9,Esportiu,Superfície_m2,909
2023,1,Ciutat Vella,1,el Raval,9,Oficines,Superfície_m2,1128
2023,1,Ciutat Vella,1,el Raval,9,Aparcaments,Superfície_m2,5023
2023,1,Ciutat Vella,1,el Raval,9,Habitatge,Superfície_m2,60902
2023,1,Ciutat Vella,1,el Raval,9,Comerç,Superfície_m2,7542
2023,1,Ciutat Vella,1,el Raval,9,Ensenyament i cultura,Superfície_m2,2566
2023,1,Ciutat Vella,1,el Raval,9,Turisme i hostaleria,Nombre,1
2023,1,Ciutat Vella,1,el Raval,9,Magatzem,Nombre,81
2023,1,Ciutat Vella,1,el Raval,9,Sòl sense edificar,Nombre,1
2023,1,Ciutat Vella,1,el Raval,9,Esportiu,Nombre,4
2023,1,Ciutat Vella,1,el Raval,9,Oficines,Nombre,16
2023,1,Ciutat Vella,1,el Raval,9,Aparcaments,Nombre,288
2023,1,Ciutat Vella,1,el Raval,9,Habitatge,Nombre,1050
2023,1,Ciutat Vella,1,el Raval,9,Comerç,Nombre,76
2023,1,Ciutat Vella,1,el Raval,9,Ensenyament i cultura,Nombre,10
2023,1,Ciutat Vella,1,el Raval,9,Turisme i hostaleria,Valor_€,48835.8
2023,1,Ciutat Vella,1,el Raval,9,Magatzem,Valor_€,1698475.77
2023,1,Ciutat Vella,1,el Raval,9,Sòl sense edificar,Valor_€,9549.63
2023,1,Ciutat Vella,1,el Raval,9,Esportiu,Valor_€,564052.69
2023,1,Ciutat Vella,1,el Raval,9,Oficines,Valor_€,997652.91
2023,1,Ciutat Vella,1,el Raval,9,Aparcaments,Valor_€,2151271.92
2023,1,Ciutat Vella,1,el Raval,9,Habitatge,Valor_€,55220913.14
2023,1,Ciutat Vella,1,el Raval,9,Comerç,Valor_€,6381032.19
2023,1,Ciutat Vella,1,el Raval,9,Ensenyament i cultura,Valor_€,2606420.68
2023,1,Ciutat Vella,1,el Raval,10,Comerç,Superfície_m2,6464
2023,1,Ciutat Vella,1,el Raval,10,Oficines,Superfície_m2,742
2023,1,Ciutat Vella,1,el Raval,10,Aparcaments,Superfície_m2,8153
2023,1,Ciutat Vella,1,el Raval,10,Turisme i hostaleria,Superfície_m2,2198
2023,1,Ciutat Vella,1,el Raval,10,Indústria,Superfície_m2,135
2023,1,Ciutat Vella,1,el Raval,10,Esportiu,Superfície_m2,308
2023,1,Ciutat Vella,1,el Raval,10,Magatzem,Superfície_m2,13576
2023,1,Ciutat Vella,1,el Raval,10,Habitatge,Superfície_m2,54407
